"ROI#","ROI ID","Canonical","uCT #","uCT qual","Tree ID","Tree name"
223,"ho","","","","",""
224,"hp","122_R",85,2,"",""
225,"hq","","","","",""
226,"hr","",292,2,44,"292 (hr)+1.pres.p.46 +47+ 270"
227,"hs","",291,2,51,"291 (hs)"
228,"ht","115_R",98,2,54,"98 (ht)"
229,"hu","107_R",288,2,2,"288 (hu-107R) + 1.pres.p.183+184 +186 + 187 +188 + 231+232 + 233 + 246 +247+248 + 249"
230,"hv","",276,2,28,"276 (hv)"
231,"hw","116_R",294,2,465,"294 + 1.pres.p.239"
232,"hx","",93,2,"",""
233,"hy","",262,2,220,"262 (hy)"
234,"hz","",264,2,81,"264 (hz)"
235,"ia","",94,2,"",""
236,"ib","",265,2,65,"265 (ib)"
237,"ic","111_R",270,2,337,"270(ic) 317 pp.7"
238,"id","112_R",266,2,"",""
239,"ie","113_R",274,2,"",""
240,"if","",215,2,344,"215 (if) +1.pres.p.272+273 + 477+478+479+480+481 +482"
241,"ig","106_R",289,2,30,"289 (ig)"
242,"ih","108_R","","","",""
243,"ii","",287,2,5,"287 (ii)"
244,"ij","",290,2,15,"290 (ij)"
245,"ik","","","","",""
246,"il","67_L",342,0,153,"342 (il)"
247,"im","P2_L","","","",""
248,"in","P2_R","","","",""
249,"io","62_R","","","",""
250,"ip","63_R",170,2,18,"170 (ip)"
"","","","","",3,"unk branch (was 241 (im branch))"
"","","","","",4,"unknown branch"
"","","","","",6,"286"
"","","","","",11,"285 + 1.pres.p. 189+190+191+192+199+200+201+202 +203+464"
"","","","","",13,"383 + 1.pres.p.204+205 + -"
"","","","","",14,"382"
"","","","","",17,"380"
"","","","","",19,"387"
"","","","","",20,"346"
"","","","","",21,"376"
"","","","","",22,"278"
"","","","","",24,"379"
"","","","","",25,"321"
"","","","","",27,"386 + 1.prep.p.not followed + 1.prep.p.0"
"","","","","",29,"393"
"","","","","",31,"320"
"","","","","",35,"152"
"","","","","",36,"172"
"","","","","",38,"347"
"","","","","",45,"?hs or ht"
"","","","","",46,"282 (v)"
"","","","","",55,"19"
"","","","","",57,"275"
"","","","","",58,"104"
"","","","","",59,"268"
"","","","","",63,"95"
"","","","","",64,"307"
"","","","","",75,"4 (r)"
"","","","","",79,"263"
"","","","","",80,"84"
"","","","","",85,"148"
"","","","","",91,"134 + 1.pres.p.311 + 312 + 314"
"","","","","",94,"187"
