"phi","r","g","b"
0.496,0.75693,1,0
0.497,0.756004,1,0
0.498,0.755077,1,0
0.499,0.754149,1,0
0.5,0.753219,1,0
0.501,0.752287,1,0
0.502,0.751355,1,0
0.503,0.75042,1,1.79354e-16
0.504,0.749484,1,0
0.505,0.748547,1,0
0.506,0.747608,1,0
0.507,0.746667,1,0
0.508,0.745724,1,0
0.509,0.744779,1,0
0.51,0.743832,1,0
0.511,0.742884,1,0
0.512,0.741934,1,1.31179e-16
0.513,0.740982,1,0
0.514,0.740029,1,0
0.515,0.739074,1,0
0.516,0.738118,1,0
0.517,0.73716,1,0
0.518,0.736201,1,0
0.519,0.73524,1,0
0.52,0.734277,1,0
0.521,0.733312,1,0
0.522,0.732346,1,0
0.523,0.731379,1,0
0.524,0.730409,1,0
0.525,0.729439,1,0
0.526,0.728467,1,0
0.527,0.727493,1,1.16546e-16
0.528,0.726517,1,5.80956e-17
0.529,0.72554,1,0
0.53,0.724562,1,0
0.531,0.723581,1,0
0.532,0.722599,1,0
0.533,0.721615,1,1.44883e-16
0.534,0.720629,1,8.64327e-17
0.535,0.719642,1,2.7982e-17
0.536,0.718652,1,0
0.537,0.717661,1,0
0.538,0.716668,1,0
0.539,0.715674,1,0
0.54,0.714677,1,0
0.541,0.713679,1,0
0.542,0.712679,1,0
0.543,0.71168,1,0
0.544,0.71068,1,0
0.545,0.709677,1,0
0.546,0.708673,1,0
0.547,0.707667,1,0
0.548,0.706659,1,0
0.549,0.705649,1,0
0.55,0.704638,1,0
0.551,0.703624,1,0
0.552,0.702609,1,2.9214e-16
0.553,0.701591,1,0
0.554,0.700572,1,0
0.555,0.699551,1,1.94449e-17
0.556,0.698528,1,0
0.557,0.697503,1,0
0.558,0.696476,1,0
0.559,0.695447,1,0
0.56,0.694418,1,0
0.561,0.693391,1,0
0.562,0.692362,1,0
0.563,0.691331,1,1.5673e-16
0.564,0.690297,1,0
0.565,0.689262,1,0
0.566,0.688225,1,0
0.567,0.687186,1,2.3582e-17
0.568,0.686144,1,9.52746e-17
0.569,0.685101,1,0
0.57,0.684056,1,0
0.571,0.683008,1,0
0.572,0.681959,1,0
0.573,0.680907,1,3.38189e-17
0.574,0.679853,1,0
0.575,0.678797,1,0
0.576,0.677739,1,0
0.577,0.676679,1,0
0.578,0.675625,1,0
0.579,0.674569,1,0
0.58,0.673511,1,0
0.581,0.672451,1,0
0.582,0.671388,1,1.1619e-17
0.583,0.670324,1,0
0.584,0.669257,1,0
0.585,0.668188,1,0
0.586,0.667117,1,0
0.587,0.666043,1,0
0.588,0.664968,1,0
0.589,0.66389,1,0
0.59,0.662809,1,0
0.591,0.661727,1,0
0.592,0.660642,1,0
0.593,0.659555,1,9.62476e-17
0.594,0.658466,1,0
0.595,0.657379,1,0
0.596,0.656296,1,1.52895e-18
0.597,0.655211,1,0
0.598,0.654124,1,0
0.599,0.653034,1,0
0.6,0.651942,1,1.69884e-17
0.601,0.650848,1,0
0.602,0.649751,1,2.47182e-17
0.603,0.648652,1,0
0.604,0.647551,1,0
0.605,0.646447,1,0
0.606,0.64534,1,4.01776e-17
0.607,0.644231,1,0
0.608,0.64312,1,0
0.609,0.642006,1,0
0.61,0.64089,1,0
0.611,0.639771,1,0
0.612,0.638649,1,0
0.613,0.637539,1,0
0.614,0.636427,1,0
0.615,0.635313,1,0
0.616,0.634196,1,2.47019e-16
0.617,0.633076,1,0
0.618,0.631954,1,0
0.619,0.63083,1,0
0.62,0.629703,1,0
0.621,0.628573,1,0
0.622,0.62744,1,9.1115e-17
0.623,0.626305,1,0
0.624,0.625167,1,0
0.625,0.624027,1,0
0.626,0.622884,1,0
0.627,0.621738,1,0
0.628,0.62059,1,0
0.629,0.619438,1,0
0.63,0.618292,1,0
0.631,0.617153,1,0
0.632,0.616011,1,0
0.633,0.614867,1,8.87808e-17
0.634,0.61372,1,0
0.635,0.61257,1,4.50597e-17
0.636,0.611417,1,0
0.637,0.610261,1,1.33868e-18
0.638,0.609103,1,0
0.639,0.607942,1,0
0.64,0.606778,1,0
